claim_id,claim,source_file,code_path,artifact_path,test_command,runtime_observation,evidence_class,current_status,owner,correction,documentation_disposition
CLM-001,"V3 LightGBM Challenger Model (1,046,844 bytes, SHA256 00a8410746...) is loadable binary artifact",repos/repo_b/models/v3/lightgbm_v3_challenger.joblib,backend/app/builder2/v3_model_adapter.py,models/v3/lightgbm_v3_challenger.joblib,"python -c ""import joblib; m = joblib.load('repos/repo_b/models/v3/lightgbm_v3_challenger.joblib'); print(type(m))""",Model loads successfully into memory; scikit-learn/lightgbm Booster estimator verified in Repo B,REPRODUCED,Active canonical binary in Repo B; in Repo A Git LFS pointer text on un-smudged checkouts,Model Custodian,Ensure Repo B binary remains canonical; quarantine Repo A pointer file,RETAIN
CLM-002,"V3 Isotonic Probability Calibrator (2,791 bytes, SHA256 9f448606ce...) is loadable calibrator",repos/repo_b/models/v3/probability_calibrator_v3.joblib,backend/app/builder2/v3_model_adapter.py,models/v3/probability_calibrator_v3.joblib,"python -c ""import joblib; c = joblib.load('repos/repo_b/models/v3/probability_calibrator_v3.joblib'); print(type(c))""",Calibrator loads successfully into memory; IsotonicRegression object confirmed,REPRODUCED,Active canonical calibrator in Repo B,Model Custodian,Retain as canonical calibrator in release manifest,RETAIN
CLM-003,"V3 Feature Names schema (50 features, SHA256 22687bf2a6...) matches artifact_manifest expected hash b65d642301...",repos/repo_b/artifact_manifest.json,scripts/verify_artifacts.py,models/v3/feature_names.json,python repos/repo_b/scripts/verify_artifacts.py,Verification exits 1: Expected b65d642301... but calculated 22687bf2a6...,CONTRADICTED,Known checksum mismatch in Repo B,Release Engineer,Repair feature-manifest hash chain in Phase 3 after verifying 50-feature order matches model expectation,REWRITE
CLM-004,V3 Operational Serving Decision Threshold is 0.060 (not legacy Day-4 0.280),repos/repo_b/backend/app/builder2/v3_model_adapter.py,backend/app/builder2/v3_model_adapter.py,models/v3/v3_evaluation_manifest.json,grep -rn '0.06' repos/repo_b/backend/app/builder2/,V3 decision threshold is 0.060; Day 4 baseline was 0.280,SUPPORTED_BY_CODE_ONLY,Multiple hardcoded thresholds exist across different test files,Serving Engineer,Centralize V3 serving threshold to exactly 0.060 in release manifest and model adapter,REWRITE
CLM-005,6 Certified Meteorological Hazard Specialists exist and are empirically validated on Indian events,repos/repo_b/README.md,backend/app/builder2/*specialist.py,None (no trained model weights exist),"python -c ""import inspect, backend.app.builder2.precipitation_specialist""","Specialists are deterministic physics heuristics/formulas (e.g. CAPE/rh thresholds), not ML models, and no empirical dataset exists",CONTRADICTED,Unvalidated scientific claim in README,Science Governance Lead,Quarantine as experimental heuristic modules; re-label as 'Prototype Hazard Reliability Heuristics',REWRITE
CLM-006,Conditional Conformal Coverage guarantees >=90% empirical coverage across all regimes,repos/repo_b/README.md,backend/app/builder2/conditional_calibration_engine.py,data/hazard_calibration_registry.json,pytest backend/tests/test_conditional_calibration.py,"Tested against synthetic random/fixture numbers only, no real held-out spatial meteorological test set",SUPPORTED_BY_TEST_FIXTURE_ONLY,Fixture-supported only,Uncertainty Lead,Label conformal coverage as theoretical prototype demonstrated on fixtures; remove unconditional guarantee,REWRITE
CLM-007,+24h to +96h Advance Warning Lead Time for forecast bust detection,repos/repo_b/README.md,backend/app/services/horizon_reliability_service.py,data/horizon_metrics.json,None,No historical storm/bust event timeline evaluation exists,DOCUMENTATION_ONLY,Theoretical claim,Meteorologist,Demote to 'Architected multi-horizon tracking (+24h to +96h) capability; empirical lead time pending live trials',REWRITE
CLM-008,"Live ingestion and validation against NCMRWF, NEPS, IMD, DWR, and INSAT",repos/repo_b/README.md,backend/app/services/ncmrwf_service.py (mock/stub),None,None,Only Open-Meteo public API is actually connected; national data integration is mock/stub,DOCUMENTATION_ONLY,Mocked/planned integration,Data Ingestion Lead,Explicitly state: 'Public-proxy demonstration via Open-Meteo; NCMRWF/IMD/DWR interfaces architected as target adapters',REWRITE
CLM-009,"Cross-System Transferability validated between global NWP models (ECMWF, GFS, ICON)",repos/repo_b/cross_system_transfer_engine.py,cross_system_transfer_engine.py,data/cross_system_transfer_matrix.json,python evaluate_cross_system.py,Evaluates mock correlation numbers without paired raw forecast archives,SUPPORTED_BY_TEST_FIXTURE_ONLY,Experimental heuristic engine,Research Lead,Keep in experimental registry; do not claim validated transferability,REWRITE
CLM-010,Digital Twin Replay evaluates real historical bust cycles,repos/repo_b/replay_digital_twin.py,replay_digital_twin.py,data/digital_twin_scenarios.json,python replay_digital_twin.py,Script synthesizes scenario progression in-memory with deterministic math; not physical atmospheric simulation,SUPPORTED_BY_TEST_FIXTURE_ONLY,Synthetic simulation demonstration,Simulation Lead,Label replay scenarios clearly as SYNTHETIC DEMONSTRATION in UI and logs,REWRITE
